-7.247848e-04 -1.100128e+01 1.362892e-04 7.071068e-01 0 0 7.071068e-01
-2.236299e-04 -1.100108e+01 2.368625e-04 7.069882e-01 1.531904e-03 8.252326e-04 7.072232e-01
2.775249e-04 -1.100088e+01 3.374358e-04 7.068680e-01 3.063511e-03 1.651000e-03 7.073369e-01
7.786798e-04 -1.100068e+01 4.380091e-04 7.067464e-01 4.594807e-03 2.477308e-03 7.074478e-01
1.279835e-03 -1.100048e+01 5.385824e-04 7.066231e-01 6.125773e-03 3.304160e-03 7.075559e-01
1.780989e-03 -1.100028e+01 6.391557e-04 7.064984e-01 7.656428e-03 4.131530e-03 7.076612e-01
2.282144e-03 -1.100008e+01 7.397290e-04 7.063721e-01 9.186750e-03 4.959431e-03 7.077637e-01
2.783299e-03 -1.099988e+01 8.403023e-04 7.062443e-01 1.071675e-02 5.787855e-03 7.078634e-01
3.284454e-03 -1.099968e+01 9.408756e-04 7.061150e-01 1.224641e-02 6.616790e-03 7.079603e-01
3.785609e-03 -1.099948e+01 1.041449e-03 7.059841e-01 1.377573e-02 7.446241e-03 7.080545e-01
4.286764e-03 -1.099929e+01 1.142022e-03 7.058517e-01 1.530472e-02 8.276205e-03 7.081459e-01
4.787919e-03 -1.099909e+01 1.242595e-03 7.057178e-01 1.683336e-02 9.106666e-03 7.082345e-01
5.289073e-03 -1.099889e+01 1.343169e-03 7.055823e-01 1.836165e-02 9.937625e-03 7.083203e-01
5.790228e-03 -1.099869e+01 1.443742e-03 7.054453e-01 1.988958e-02 1.076909e-02 7.084034e-01
6.291383e-03 -1.099849e+01 1.544315e-03 7.053068e-01 2.141716e-02 1.160104e-02 7.084837e-01
6.792538e-03 -1.099829e+01 1.644889e-03 7.051667e-01 2.294438e-02 1.243347e-02 7.085612e-01
7.293693e-03 -1.099809e+01 1.745462e-03 7.050251e-01 2.447124e-02 1.326639e-02 7.086359e-01
7.794848e-03 -1.099789e+01 1.846035e-03 7.048819e-01 2.599772e-02 1.409979e-02 7.087078e-01
8.296003e-03 -1.099769e+01 1.946609e-03 7.047372e-01 2.752382e-02 1.493366e-02 7.087770e-01
8.797157e-03 -1.099749e+01 2.047182e-03 7.045910e-01 2.904956e-02 1.576801e-02 7.088435e-01
9.298312e-03 -1.099729e+01 2.147755e-03 7.044432e-01 3.057491e-02 1.660282e-02 7.089072e-01
9.799467e-03 -1.099709e+01 2.248328e-03 7.042938e-01 3.209988e-02 1.743810e-02 7.089680e-01
1.030062e-02 -1.099689e+01 2.348902e-03 7.041430e-01 3.362445e-02 1.827382e-02 7.090262e-01
1.080178e-02 -1.099669e+01 2.449475e-03 7.039906e-01 3.514864e-02 1.911000e-02 7.090815e-01
